reg,sexe0,n_dose1_0,n_2_rappel_0,sexe1,n_dose1_1,n_2_rappel_1,sexe2,n_dose1_2,n_2_rappel_2
1,0,0,0,1,0,0,2,0,0
1,0,1,0,1,1,0,2,0,0
1,0,0,0,1,0,0,2,0,0
1,0,0,0,1,0,0,2,0,0
1,0,0,0,1,0,0,2,0,0
1,0,2,0,1,1,0,2,1,0
1,0,0,0,1,0,0,2,0,0
1,0,1,0,1,0,0,2,1,0
1,0,1,0,1,0,0,2,1,0
1,0,14,0,1,5,0,2,9,0
1,0,7,0,1,5,0,2,2,0
1,0,6,0,1,4,0,2,2,0
1,0,57,0,1,38,0,2,19,0
1,0,16,0,1,10,0,2,6,0
1,0,0,0,1,0,0,2,0,0
1,0,63,0,1,35,0,2,28,0
1,0,51,0,1,28,0,2,23,0
1,0,40,0,1,22,0,2,18,0
1,0,64,0,1,29,0,2,35,0
1,0,67,0,1,38,0,2,29,0
1,0,1,0,1,0,0,2,1,0
1,0,3,0,1,0,0,2,3,0
1,0,80,0,1,42,0,2,38,0
1,0,145,0,1,68,0,2,77,0
1,0,132,0,1,53,0,2,79,0
1,0,163,0,1,82,0,2,81,0
1,0,123,0,1,62,0,2,61,0
1,0,3,0,1,2,0,2,1,0
1,0,1,0,1,0,0,2,1,0
1,0,173,0,1,104,0,2,69,0
1,0,213,0,1,102,0,2,111,0
1,0,221,0,1,102,0,2,119,0
1,0,207,0,1,97,0,2,110,0
1,0,159,0,1,75,0,2,84,0
1,0,23,0,1,14,0,2,9,0
1,0,2,0,1,0,0,2,2,0
1,0,202,0,1,94,0,2,108,0
1,0,205,0,1,101,0,2,104,0
1,0,192,0,1,89,0,2,103,0
1,0,276,0,1,143,0,2,133,0
1,0,252,0,1,126,0,2,126,0
1,0,39,0,1,18,0,2,21,0
1,0,2,0,1,0,0,2,2,0
1,0,205,0,1,97,0,2,108,0
1,0,259,0,1,128,0,2,131,0
1,0,223,0,1,106,0,2,117,0
1,0,245,0,1,132,0,2,113,0
1,0,242,0,1,122,0,2,120,0
1,0,46,0,1,21,0,2,25,0
1,0,18,0,1,8,0,2,10,0
1,0,69,0,1,30,0,2,39,0
1,0,18,0,1,10,0,2,8,0
1,0,16,0,1,8,0,2,8,0
1,0,202,0,1,102,0,2,100,0
1,0,216,0,1,96,0,2,120,0
1,0,45,0,1,22,0,2,23,0
1,0,2,0,1,0,0,2,2,0
1,0,177,0,1,91,0,2,86,0
1,0,191,0,1,96,0,2,95,0
1,0,314,0,1,153,0,2,159,0
1,0,353,0,1,193,0,2,159,0
1,0,216,0,1,97,0,2,119,0
1,0,61,0,1,30,0,2,31,0
1,0,1,0,1,1,0,2,0,0
1,0,157,0,1,76,0,2,81,0
1,0,263,0,1,134,0,2,129,0
1,0,228,0,1,116,0,2,112,0
1,0,310,0,1,151,0,2,159,0
1,0,364,0,1,185,0,2,179,0
1,0,569,0,1,279,0,2,290,0
1,0,6,0,1,4,0,2,2,0
1,0,311,0,1,144,0,2,167,0
1,0,384,0,1,182,0,2,200,0
1,0,425,0,1,197,0,2,227,0
1,0,125,0,1,63,0,2,62,0
1,0,481,0,1,245,0,2,236,0
1,0,136,0,1,64,0,2,71,0
1,0,19,0,1,8,0,2,11,0
1,0,389,0,1,181,0,2,207,0
1,0,463,0,1,237,0,2,225,0
1,0,449,0,1,214,0,2,234,0
1,0,549,0,1,261,0,2,287,0
1,0,535,0,1,242,0,2,293,0
1,0,179,0,1,82,0,2,97,0
1,0,11,0,1,7,0,2,4,0
1,0,348,0,1,155,0,2,193,0
1,0,514,0,1,254,0,2,257,0
1,0,455,0,1,225,0,2,229,0
1,0,733,0,1,345,0,2,386,0
1,0,620,0,1,287,0,2,330,0
1,0,302,0,1,127,0,2,175,0
1,0,31,0,1,12,0,2,19,0
1,0,363,0,1,178,0,2,185,0
1,0,592,0,1,317,0,2,275,0
1,0,516,0,1,255,0,2,261,0
1,0,634,0,1,315,0,2,317,0
1,0,76,0,1,31,0,2,45,0
1,0,73,0,1,26,0,2,47,0
1,0,17,0,1,9,0,2,8,0
1,0,24,0,1,11,0,2,13,0
1,0,451,0,1,215,0,2,235,0
1,0,538,0,1,245,0,2,291,0
1,0,510,0,1,258,0,2,252,0
1,0,467,0,1,234,0,2,232,0
1,0,117,0,1,60,0,2,57,0
1,0,19,0,1,8,0,2,11,0
1,0,307,0,1,139,0,2,167,0
1,0,517,0,1,240,0,2,277,0
1,0,455,0,1,196,0,2,259,0
1,0,539,0,1,259,0,2,280,0
1,0,546,0,1,264,0,2,281,0
1,0,230,0,1,93,0,2,137,0
1,0,16,0,1,7,0,2,9,0
1,0,388,0,1,166,0,2,222,0
1,0,686,0,1,327,0,2,359,0
1,0,621,0,1,275,0,2,346,0
1,0,778,0,1,379,0,2,399,0
1,0,799,0,1,377,0,2,422,0
1,0,394,0,1,170,0,2,224,0
1,0,549,0,1,274,0,2,275,0
1,0,925,0,1,435,0,2,490,0
1,0,728,0,1,351,0,2,376,0
1,0,832,0,1,395,0,2,436,0
1,0,1160,0,1,556,0,2,603,0
1,0,1210,0,1,597,0,2,613,0
1,0,583,0,1,268,0,2,315,0
1,0,337,0,1,155,0,2,182,0
1,0,877,0,1,429,0,2,448,0
1,0,919,0,1,417,0,2,501,0
1,0,969,0,1,437,0,2,532,0
1,0,1074,0,1,506,0,2,566,0
1,0,1210,0,1,582,0,2,625,0
1,0,309,0,1,124,0,2,185,0
1,0,183,0,1,80,0,2,103,0
1,0,814,0,1,387,0,2,427,0
1,0,940,0,1,439,0,2,500,0
1,0,896,0,1,409,0,2,486,0
1,0,241,0,1,108,0,2,133,0
1,0,845,0,1,365,0,2,480,0
1,0,468,0,1,206,0,2,260,0
1,0,190,0,1,83,0,2,107,0
1,0,704,0,1,327,0,2,376,0
1,0,715,0,1,324,0,2,390,0
1,0,679,0,1,296,0,2,383,0
1,0,796,0,1,398,0,2,396,0
1,0,809,0,1,353,0,2,456,0
1,0,519,0,1,227,0,2,291,0
1,0,198,0,1,94,0,2,104,0
1,0,216,0,1,94,0,2,121,0
1,0,554,0,1,283,0,2,271,0
1,0,580,0,1,254,0,2,325,0
1,0,162,0,1,62,0,2,100,0
1,0,516,0,1,247,0,2,268,0
1,0,260,0,1,132,0,2,128,0
1,0,86,0,1,47,0,2,39,0
1,0,459,0,1,232,0,2,227,0
1,0,613,0,1,292,0,2,320,0
1,0,609,0,1,275,0,2,333,0
1,0,558,0,1,249,0,2,309,0
1,0,810,0,1,401,0,2,408,0
1,0,329,0,1,137,0,2,192,0
