title,description,pubdate
UK interest rates raised to 1.25% by Bank of England,The Bank of England increases rates to 1.25% and forecasts inflation could surpass 11% this year.,"Thu, 16 Jun 2022 14:31:51 GMT"
"Boris Johnson put me in odious position, says ex-ethics adviser Lord Geidt",Lord Geidt tells Boris Johnson why he felt he could not continue as his standards adviser.,"Thu, 16 Jun 2022 16:17:50 GMT"
Lavrov: Russia is not squeaky clean and not ashamed,Russia's foreign minister tells the BBC that the West is pressing UN officials to amplify fake news.,"Thu, 16 Jun 2022 16:59:18 GMT"
Scale of abuse within British Gymnastics revealed ,"Issues of physical and emotional abuse within British gymnastics were ""systemic"", an independent investigation finds.","Thu, 16 Jun 2022 16:28:50 GMT"
UK weather: Hottest day of the year as temperatures to rise further,A high of 29.5C (85.1F) is recorded in west London as people flock to enjoy the warm weather outdoors.,"Thu, 16 Jun 2022 17:47:50 GMT"
Archbishop of Canterbury apologises over Church fund's link to slavery,Church of England research reveals its £10bn investment fund has 18th Century links to the slave trade.,"Thu, 16 Jun 2022 19:55:24 GMT"
Dom Phillips and Bruno Pereira: Family speak of heartbreak over killings,A suspect has confessed to burying the bodies of journalist Dom Phillips and indigenous expert Bruno Pereira.,"Thu, 16 Jun 2022 14:57:42 GMT"
Ukraine war: EU leaders back immediate candidate status for Kyiv,"Ukraine belongs to the European family, the leaders of Germany, France, Italy and Romania say in Kyiv.","Thu, 16 Jun 2022 18:52:40 GMT"
Pig feed deaths: Managers jailed after yard workers drowned,"Gavin Rawson, 35, died trying to save Nathan Walker, 19, whose son was born 15 days after he died.","Thu, 16 Jun 2022 14:36:09 GMT"
Russian GRU spy tried to infiltrate International Criminal Court,"The man used a fake name and pretended to be Brazilian, but security officials say he is a deep-cover spy.","Thu, 16 Jun 2022 18:16:11 GMT"
Apple battery row: Millions of iPhone users could get payouts in legal action,The tech giant is accused of secretly slowing down the performance of older models.,"Thu, 16 Jun 2022 16:57:03 GMT"
In pictures: Head-turning millinery at Royal Ascot Ladies' Day 2022,"Racegoers in their fabulous finery for Ladies' Day, on the third day of Royal Ascot.","Thu, 16 Jun 2022 16:28:30 GMT"
"Kim Kardashian: Marilyn Monroe's gown not damaged, Ripley's claims","A ""calculated risk"" was made to let Kim Kardashian wear the iconic gown to the Met Gala, museum says.","Thu, 16 Jun 2022 19:01:29 GMT"
Powerful 'smoke twister' spotted in Arizona,"The twister formed from smoke from the Pipeline Fire in Flagstaff, Arizona.","Thu, 16 Jun 2022 15:04:51 GMT"
Forgotten WW2 love letters found in wardrobe at empty home,The letters date from 1942 to 1946 and were exchanged between a young woman and an RAF commander.,"Thu, 16 Jun 2022 11:17:38 GMT"
'Dom was one of the best - quiet but curious',"Author Andrew Downie pays tribute to Dom Phillips, who is feared dead after going missing in Brazil.","Thu, 16 Jun 2022 10:25:22 GMT"
"Plague: Ancient teeth reveal where Black Death began, researchers say",Researchers say they finally know the origin of the plague that killed tens of millions in the 1300s.,"Thu, 16 Jun 2022 02:50:51 GMT"
Love Island: How Demi Jones helped Hollyoaks actress spot thyroid cancer signs,Hollyoaks actress Abi Phillips discovered lumps on her neck after watching Demi Jones' videos.,"Thu, 16 Jun 2022 02:02:06 GMT"
Anglo-Saxon burial ground unearthed at HS2 site in Buckinghamshire,"Nearly 140 graves, a skeleton with a spear point embedded in it, jewellery and weapons are among the finds.","Thu, 16 Jun 2022 00:50:34 GMT"
Interest rates: What are they and how high could they go?,Interest rates are one of the main tools used to keep the UK economy growing steadily.,"Thu, 16 Jun 2022 11:21:18 GMT"
